patients_ahead,queue_length,active_doctors,avg_consultation_time,emergency_load,is_walk_in,hour,waiting_time
20,4,1,20.61,3,0,10,417.49
17,3,5,15.17,0,0,11,231.76
19,1,5,11.38,10,1,11,214.22
8,26,1,20.9,2,1,13,179.98
6,25,3,9.74,6,0,13,71.4
19,9,1,20.41,8,0,14,398.99
9,27,5,23.05,5,0,9,201.43
7,25,3,24.75,3,0,14,174.52
20,27,3,10.77,5,0,18,221.47
20,3,5,18.79,8,0,10,368.02
8,30,5,11.73,5,0,11,97.09
10,13,3,9.13,9,1,11,105.31
12,29,4,10.43,2,0,16,124.04
18,14,5,14.79,3,0,16,254.15
1,28,1,10.6,2,1,17,22.23
12,20,4,16.99,8,0,18,212.15
17,25,3,21.07,5,0,12,364.97
14,1,3,24.52,2,0,18,330.79
20,17,5,11.38,5,0,16,225.66
16,30,1,18.18,7,0,9,319.2
9,8,1,12.09,9,0,9,128.17
2,25,5,21.02,2,1,16,33.19
16,28,5,15.19,3,0,12,237.08
20,12,4,23.29,7,0,11,463.12
10,1,5,17.42,9,0,8,163.38
20,2,2,9.15,0,1,9,177.06
8,22,4,11.64,2,1,11,93.98
13,7,1,9.65,6,1,14,138.03
1,22,1,9.03,5,0,11,21.95
17,15,2,15.17,4,1,11,270.17
2,15,5,9.66,10,0,9,26.09
7,6,4,16.26,3,1,8,102.44
0,13,3,23.75,7,1,14,10.47
17,22,4,10.63,4,0,8,180.53
17,2,3,8.97,9,1,16,163.71
16,6,1,24.33,1,0,9,390.28
7,13,1,24.01,9,0,17,188.5
19,3,4,19.18,9,1,12,363.87
10,8,3,14.73,10,1,15,157.45
2,1,4,18.56,9,0,9,36.0
16,9,2,23.87,1,0,13,376.2
14,27,5,19.96,9,0,18,289.11
9,30,1,23.96,2,1,9,236.55
17,5,3,12.79,3,1,11,215.8
8,17,4,12.27,0,0,18,85.89
8,2,1,13.67,2,1,10,114.78
17,23,4,17.54,1,0,10,292.06
11,19,5,10.52,2,0,12,102.84
1,29,3,11.57,3,0,13,19.87
13,20,2,23.74,3,0,10,318.41
0,6,3,21.3,6,0,12,0.0
3,13,1,22.6,3,0,15,73.78
7,8,1,19.22,6,1,12,152.19
8,12,5,14.79,8,1,8,114.51
8,6,5,24.36,4,0,9,181.87
11,24,3,15.42,8,0,14,186.6
6,9,1,20.05,0,0,13,119.11
10,20,3,19.28,1,1,16,190.87
13,11,4,19.85,8,0,11,258.79
12,22,2,18.46,4,1,16,236.9
9,10,2,15.31,9,1,15,153.19
6,17,4,21.49,2,0,12,121.62
20,20,3,9.59,3,1,11,198.82
4,1,1,12.16,7,0,15,57.29
20,19,2,20.21,6,1,14,416.18
20,23,1,23.18,1,1,11,471.76
16,15,1,17.48,1,1,10,290.13
16,18,5,13.39,7,1,16,214.76
5,24,4,15.65,3,1,16,79.1
7,9,4,9.32,4,0,12,56.08
17,3,2,10.56,6,0,11,178.73
13,11,5,15.92,0,0,14,186.36
18,23,1,22.56,9,1,15,428.72
11,10,4,22.51,6,0,15,241.79
13,16,1,14.61,10,1,10,219.34
4,20,5,8.46,6,0,9,32.26
4,28,4,11.09,4,1,13,46.47
10,11,4,12.73,6,1,9,127.51
17,2,3,11.81,1,0,8,193.3
6,27,1,18.56,3,0,15,127.57
18,7,4,19.89,5,0,17,352.61
3,25,2,24.4,1,0,12,78.46
12,13,2,9.29,10,0,9,129.98
9,28,5,21.69,9,0,13,202.57
11,3,5,19.01,0,1,15,184.65
11,21,4,20.02,6,0,16,227.42
8,20,5,21.17,7,1,17,169.04
7,27,1,12.74,7,0,15,112.39
12,11,1,16.4,5,0,15,204.46
8,11,3,22.97,4,0,16,186.7
2,8,4,16.31,3,1,18,27.73
14,26,1,9.58,3,1,11,149.21
18,12,4,17.41,5,1,16,310.67
14,9,3,12.27,1,0,13,159.53
17,25,2,11.26,7,1,17,215.62
16,20,3,24.67,3,1,11,397.31
9,1,5,10.15,0,0,16,64.79
4,21,4,9.74,0,1,15,32.26
10,6,1,12.29,7,0,9,133.93
2,19,1,10.58,9,1,9,51.6
3,18,4,18.31,9,0,16,60.73
14,10,5,24.83,4,0,17,340.23
3,25,2,18.63,4,0,10,63.8
17,3,2,8.05,7,1,12,140.6
9,23,3,19.95,7,0,18,187.39
8,26,5,19.24,3,1,9,151.37
20,5,3,22.05,1,0,10,433.48
19,24,5,23.66,7,0,15,452.43
12,9,5,17.18,7,0,17,195.05
13,24,3,18.26,0,0,11,239.04
18,19,1,24.99,10,1,17,472.77
5,16,5,19.08,4,0,17,85.74
15,3,4,13.92,5,1,18,199.28
5,11,4,19.79,4,1,16,90.83
2,11,3,13.5,6,0,18,33.18
14,14,1,11.19,5,1,18,171.07
1,7,3,17.34,4,1,15,13.05
20,20,2,20.07,4,0,16,408.41
7,27,1,15.84,1,0,15,125.74
9,17,3,15.06,7,1,11,145.64
4,13,2,23.67,8,0,9,104.95
13,11,5,12.54,0,1,12,149.92
18,22,4,22.71,7,1,13,415.09
17,13,4,23.86,3,0,17,396.92
13,2,3,20.66,6,1,18,272.5
20,5,4,24.4,2,1,9,481.28
14,4,5,23.48,0,0,14,309.39
4,3,4,21.29,4,1,17,79.57
20,3,3,22.49,8,1,13,456.56
15,28,5,8.61,1,0,18,122.0
9,8,1,15.38,1,0,15,136.06
9,29,1,8.78,0,1,13,90.29
4,8,5,15.0,10,0,10,55.77
19,28,4,18.54,3,1,17,351.6
14,21,3,15.81,10,0,15,240.89
17,6,1,15.51,5,1,18,279.28
8,15,3,11.39,6,1,9,95.97
18,12,5,13.03,4,0,18,222.5
0,19,1,23.48,7,1,11,22.57
11,8,2,18.56,10,0,18,214.08
20,21,1,13.25,7,0,17,283.19
4,3,3,13.55,6,0,11,49.04
17,29,3,17.02,4,0,12,301.06
15,26,3,20.69,5,0,15,323.0
4,25,2,22.62,10,1,16,114.65
12,1,3,17.12,7,1,18,210.45
8,19,4,21.98,5,0,18,172.69
0,20,5,13.58,9,0,18,0.0
14,30,3,19.04,1,0,8,272.98
9,16,1,9.65,8,0,14,105.41
17,14,5,20.62,2,1,18,335.51
15,20,4,23.96,4,0,13,354.63
14,8,3,9.69,10,1,16,151.66
20,12,1,14.77,3,0,15,298.28
6,21,5,24.51,0,1,11,140.44
18,7,1,22.11,8,0,17,409.58
7,11,2,21.41,9,0,12,166.93
4,5,5,12.26,2,0,18,34.21
4,1,3,21.43,3,1,8,76.96
1,5,4,16.94,1,1,15,7.22
16,19,1,15.68,3,0,18,261.66
14,21,1,9.03,7,1,14,150.84
15,23,4,9.25,1,1,17,131.72
4,9,5,18.76,8,1,14,78.5
16,10,4,16.59,6,0,9,266.04
20,29,5,20.25,3,1,15,407.47
13,11,4,14.78,1,1,14,180.74
8,12,2,19.68,7,0,9,170.73
2,14,1,20.66,5,0,16,48.92
17,18,3,19.39,6,1,18,343.05
13,28,1,24.46,9,1,13,344.05
16,7,2,19.16,3,0,13,309.59
11,4,3,17.76,6,0,17,198.65
8,1,2,12.65,4,1,13,97.73
4,19,4,9.18,10,0,9,48.69
6,13,4,15.71,2,1,12,89.99
18,20,1,23.02,2,0,17,418.8
2,9,4,19.25,7,1,14,37.74
16,4,3,15.31,4,1,16,244.61
1,8,4,24.74,0,0,11,6.75
6,25,2,20.99,4,1,9,134.52
13,6,2,14.46,3,1,9,189.0
1,14,1,15.82,1,1,17,22.11
12,23,4,12.92,6,0,13,155.28
19,15,3,9.5,1,0,14,175.85
16,3,4,22.8,5,0,13,359.07
